lon,lat,PGA-0.0137,PGA-0.0098,PGA-0.0021,PGA-0.001,PGA-0.0003,PGA-0.0001,SA(0.3)-0.0137,SA(0.3)-0.0098,SA(0.3)-0.0021,SA(0.3)-0.001,SA(0.3)-0.0003,SA(0.3)-0.0001,SA(0.6)-0.0137,SA(0.6)-0.0098,SA(0.6)-0.0021,SA(0.6)-0.001,SA(0.6)-0.0003,SA(0.6)-0.0001,SA(1.0)-0.0137,SA(1.0)-0.0098,SA(1.0)-0.0021,SA(1.0)-0.001,SA(1.0)-0.0003,SA(1.0)-0.0001,SA(1.5)-0.0137,SA(1.5)-0.0098,SA(1.5)-0.0021,SA(1.5)-0.001,SA(1.5)-0.0003,SA(1.5)-0.0001
22.88978,40.65523,0.16,0.196,0.431,0.579,0.797,0.992,0.31,0.38,0.85,1.18,1.66,2.07,0.18,0.21,0.49,0.7,1.02,1.32,0.1,0.12,0.27,0.38,0.57,0.74,0.06,0.08,0.17,0.24,0.36,0.46
22.88978,40.64523,0.173,0.214,0.467,0.624,0.856,1.06,0.34,0.41,0.94,1.3,1.81,2.26,0.2,0.25,0.56,0.81,1.18,1.52,0.12,0.14,0.31,0.44,0.66,0.86,0.07,0.09,0.2,0.28,0.41,0.53
22.89978,40.64523,0.171,0.21,0.456,0.61,0.836,1.04,0.33,0.4,0.92,1.26,1.76,2.2,0.19,0.24,0.55,0.78,1.15,1.49,0.11,0.13,0.3,0.44,0.65,0.84,0.07,0.09,0.19,0.27,0.4,0.52
22.90978,40.64523,0.161,0.198,0.427,0.57,0.783,0.969,0.31,0.38,0.86,1.17,1.65,2.09,0.18,0.21,0.49,0.71,1.06,1.38,0.1,0.12,0.27,0.4,0.59,0.76,0.06,0.08,0.17,0.24,0.36,0.47
22.90978,40.63523,0.168,0.208,0.444,0.59,0.808,1,0.32,0.4,0.9,1.23,1.73,2.21,0.19,0.23,0.53,0.76,1.13,1.47,0.11,0.13,0.29,0.43,0.63,0.82,0.07,0.08,0.18,0.26,0.39,0.5
22.92978,40.63523,0.171,0.211,0.445,0.591,0.808,1,0.33,0.4,0.91,1.27,1.84,2.39,0.19,0.23,0.55,0.79,1.17,1.5,0.11,0.13,0.3,0.45,0.65,0.84,0.07,0.08,0.19,0.27,0.4,0.52
22.94978,40.60523,0.172,0.214,0.444,0.591,0.831,1.07,0.33,0.41,0.92,1.29,1.9,2.44,0.19,0.23,0.55,0.8,1.18,1.52,0.11,0.13,0.3,0.45,0.65,0.85,0.07,0.08,0.19,0.27,0.41,0.53
22.94978,40.59523,0.17,0.21,0.443,0.587,0.811,1.02,0.33,0.4,0.91,1.26,1.84,2.4,0.19,0.23,0.53,0.77,1.15,1.49,0.11,0.13,0.29,0.43,0.64,0.83,0.07,0.08,0.19,0.26,0.4,0.51
22.88978,40.66523,0.156,0.191,0.421,0.567,0.782,0.971,0.3,0.37,0.82,1.14,1.61,2.01,0.17,0.21,0.47,0.67,0.99,1.29,0.1,0.12,0.26,0.37,0.55,0.72,0.06,0.07,0.17,0.23,0.35,0.44
22.89978,40.67523,0.146,0.179,0.393,0.528,0.728,0.896,0.28,0.34,0.77,1.07,1.49,1.89,0.15,0.18,0.42,0.62,0.92,1.18,0.08,0.1,0.23,0.34,0.51,0.65,0.05,0.07,0.14,0.21,0.31,0.4
22.89978,40.66523,0.154,0.189,0.414,0.556,0.766,0.949,0.29,0.36,0.81,1.13,1.59,1.98,0.16,0.2,0.46,0.66,0.98,1.27,0.09,0.11,0.25,0.37,0.55,0.72,0.06,0.07,0.16,0.23,0.34,0.44
22.89978,40.65523,0.154,0.19,0.415,0.556,0.766,0.949,0.29,0.36,0.82,1.13,1.6,1.97,0.16,0.2,0.46,0.66,0.98,1.28,0.09,0.11,0.25,0.37,0.55,0.71,0.06,0.07,0.16,0.23,0.34,0.43
22.90978,40.67523,0.139,0.171,0.374,0.505,0.69,0.846,0.26,0.32,0.73,1,1.43,1.84,0.14,0.17,0.39,0.57,0.85,1.09,0.08,0.09,0.21,0.32,0.47,0.6,0.05,0.06,0.13,0.19,0.28,0.36
22.90978,40.66523,0.147,0.18,0.394,0.528,0.728,0.895,0.28,0.34,0.77,1.07,1.5,1.91,0.15,0.19,0.43,0.63,0.92,1.2,0.08,0.1,0.23,0.35,0.51,0.65,0.05,0.07,0.14,0.21,0.31,0.4
22.90978,40.65523,0.158,0.194,0.421,0.564,0.776,0.96,0.3,0.37,0.84,1.16,1.63,2.06,0.17,0.21,0.48,0.69,1.03,1.34,0.1,0.12,0.26,0.39,0.58,0.74,0.06,0.07,0.17,0.24,0.35,0.46
22.91978,40.65523,0.135,0.167,0.362,0.485,0.66,0.811,0.25,0.31,0.7,0.96,1.38,1.77,0.13,0.16,0.37,0.54,0.8,1.03,0.07,0.09,0.2,0.3,0.43,0.55,0.05,0.05,0.12,0.18,0.26,0.34
22.91978,40.64523,0.151,0.186,0.399,0.532,0.73,0.897,0.29,0.35,0.8,1.09,1.56,1.99,0.16,0.19,0.44,0.65,0.96,1.24,0.09,0.1,0.24,0.36,0.53,0.67,0.06,0.07,0.15,0.22,0.32,0.41
22.92978,40.64523,0.149,0.184,0.393,0.523,0.717,0.878,0.28,0.35,0.78,1.08,1.59,2.04,0.15,0.19,0.44,0.64,0.94,1.21,0.08,0.1,0.24,0.35,0.51,0.66,0.05,0.07,0.15,0.21,0.31,0.4
22.93978,40.63523,0.16,0.197,0.412,0.548,0.762,0.982,0.3,0.37,0.84,1.18,1.75,2.24,0.17,0.21,0.49,0.7,1.03,1.34,0.09,0.11,0.27,0.39,0.57,0.74,0.06,0.07,0.16,0.24,0.34,0.45
22.93978,40.58523,0.145,0.179,0.387,0.516,0.706,0.864,0.27,0.34,0.76,1.05,1.5,1.95,0.15,0.18,0.41,0.6,0.89,1.16,0.08,0.1,0.22,0.33,0.49,0.63,0.05,0.06,0.14,0.2,0.3,0.39
22.94978,40.62523,0.16,0.197,0.408,0.548,0.787,1.02,0.3,0.37,0.85,1.2,1.74,2.22,0.17,0.2,0.49,0.7,1.03,1.34,0.09,0.11,0.27,0.39,0.56,0.73,0.06,0.07,0.16,0.24,0.34,0.45
